Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2016,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,16085,15799,31884,7,Football,128,,,,128,0,39664,5076950,0,0,5076950,,,,,,37085787,,37085787,,,,37085787,0,37085787,25672983,,25672983,,,,25672983,0,25672983
2016,171100,00229000,Michigan State University,MI,1,,1,NCAA,17245,18035,35280,7,Football,118,,,,118,0,48627,5737978,0,0,5737978,,,,,,64958793,,64958793,,,,64958793,0,64958793,26326106,,26326106,,,,26326106,0,26326106
2016,147767,00173900,Northwestern University,IL,1,,1,NCAA,4123,4126,8249,7,Football,103,,,,103,0,45953,4733130,0,0,4733130,,,,,,38681564,,38681564,,,,38681564,0,38681564,26751803,,26751803,,,,26751803,0,26751803
2016,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,21559,20107,41666,7,Football,130,,,,130,0,74320,9661535,0,0,9661535,,,,,,89893135,,89893135,,,,89893135,0,89893135,38446470,,38446470,,,,38446470,0,38446470
2016,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,21204,18679,39883,7,Football,117,,,,117,0,85187,9966893,0,0,9966893,,,,,,81106066,,81106066,,,,81106066,0,81106066,39163720,,39163720,,,,39163720,0,39163720
2016,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,17069,12232,29301,7,Football,110,,,,110,0,26076,2868380,0,0,2868380,,,,,,26014107,,26014107,,,,26014107,0,26014107,26680356,,26680356,,,,26680356,0,26680356
2016,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,16991,16948,33939,7,Football,107,,,,107,0,28443,3043397,0,0,3043397,,,,,,25423916,,25423916,,,,25423916,0,25423916,25423916,,25423916,,,,25423916,0,25423916
2016,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17529,14597,32126,7,Football,102,,,,102,0,20796,2121157,0,0,2121157,,,,,,35622414,,35622414,,,,35622414,0,35622414,22332328,,22332328,,,,22332328,0,22332328
2016,153658,00189200,University of Iowa,IA,1,,1,NCAA,9801,10889,20690,7,Football,121,,,,121,0,35984,4354108,0,0,4354108,,,,,,58685965,,58685965,,,,58685965,0,58685965,31800591,,31800591,,,,31800591,0,31800591
2016,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,13815,12359,26174,7,Football,111,,,,111,0,25269,2804907,0,0,2804907,,,,,,29973008,,29973008,,,,29973008,0,29973008,18908923,,18908923,,,,18908923,0,18908923
2016,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,13891,13942,27833,7,Football,139,,,,139,0,46915,6521230,0,0,6521230,,,,,,105876108,,105876108,,,,105876108,0,105876108,46249632,,46249632,,,,46249632,0,46249632
2016,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13827,14955,28782,7,Football,112,,,,112,0,65042,7284695,0,0,7284695,,,,,,48886935,,48886935,,,,48886935,0,48886935,30950349,,30950349,,,,30950349,0,30950349
2016,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,10022,9359,19381,7,Football,139,,,,139,0,45051,6262083,0,0,6262083,,,,,,69503006,,69503006,,,,69503006,0,69503006,36571682,,36571682,,,,36571682,0,36571682
2016,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,13758,14443,28201,7,Football,115,,,,115,0,45114,5188088,0,0,5188088,,,,,,73548409,,73548409,,,,73548409,0,73548409,33147287,,33147287,,,,33147287,0,33147287
2015,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,15796,15763,31559,7,Football,129,,,,129,0,38394,4952859,0,0,4952859,,,,,,35213709,,35213709,,,,35213709,0,35213709,24233472,,24233472,,,,24233472,0,24233472
2015,171100,00229000,Michigan State University,MI,1,,1,NCAA,17376,18049,35425,7,Football,120,,,,120,0,46093,5531189,0,0,5531189,,,,,,64661163,,64661163,,,,64661163,0,64661163,31978126,,31978126,,,,31978126,0,31978126
2015,147767,00173900,Northwestern University,IL,1,,1,NCAA,4124,4092,8216,7,Football,107,,,,107,0,36436,3898646,0,0,3898646,,,,,,36212907,,36212907,,,,36212907,0,36212907,24629741,,24629741,,,,24629741,0,24629741
2015,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,21316,19582,40898,7,Football,128,,,,128,0,66494,8511260,0,0,8511260,,,,,,86646061,,86646061,,,,86646061,0,86646061,37378146,,37378146,,,,37378146,0,37378146
2015,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,20986,18308,39294,7,Football,128,,,,128,0,66270,8482572,0,0,8482572,,,,,,75462597,,75462597,,,,75462597,0,75462597,36163151,,36163151,,,,36163151,0,36163151
2015,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,16595,12060,28655,7,Football,108,,,,108,0,24276,2621757,0,0,2621757,,,,,,18681315,,18681315,,,,18681315,0,18681315,16885714,,16885714,,,,16885714,0,16885714
2015,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,16654,16640,33294,7,Football,122,,,,122,0,51043,6227301,0,0,6227301,,,,,,25236282,,25236282,,,,25236282,0,25236282,25236282,,25236282,,,,25236282,0,25236282
2015,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17540,14012,31552,7,Football,123,,,,123,0,18249,2244640,0,0,2244640,,,,,,32910979,,32910979,,,,32910979,0,32910979,18242712,,18242712,,,,18242712,0,18242712
2015,153658,00189200,University of Iowa,IA,1,,1,NCAA,9394,10318,19712,7,Football,117,,,,117,0,48762,5705156,0,0,5705156,,,,,,56551411,,56551411,,,,56551411,0,56551411,30150836,,30150836,,,,30150836,0,30150836
2015,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,13500,11772,25272,7,Football,117,,,,117,0,14399,1684664,0,0,1684664,,,,,,30071434,,30071434,,,,30071434,0,30071434,20779161,,20779161,,,,20779161,0,20779161
2015,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,13642,13519,27161,7,Football,125,,,,125,0,46405,5800672,0,0,5800672,,,,,,97149706,,97149706,,,,97149706,0,97149706,36597583,,36597583,,,,36597583,0,36597583
2015,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13666,14540,28206,7,Football,119,,,,119,0,42636,5073658,0,0,5073658,,,,,,49363392,,49363392,,,,49363392,0,49363392,25542759,,25542759,,,,25542759,0,25542759
2015,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,9905,8912,18817,7,Football,138,,,,138,0,30349,4188204,0,0,4188204,,,,,,65012080,,65012080,,,,65012080,0,65012080,27493962,,27493962,,,,27493962,0,27493962
2015,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,13741,14416,28157,7,Football,117,,,,117,0,37604,4399614,0,0,4399614,,,,,,71220684,,71220684,,,,71220684,0,71220684,30731315,,30731315,,,,30731315,0,30731315
2014,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,15523,15638,31161,7,Football,136,,,,136,0,18362,2497266,0,0,2497266,,,,,,27508477,,27508477,,,,27508477,0,27508477,18010927,,18010927,,,,18010927,0,18010927
2014,171100,00229000,Michigan State University,MI,1,,1,NCAA,17257,17781,35038,7,Football,115,,,,115,0,54950,6319252,0,0,6319252,,,,,,59227831,,59227831,,,,59227831,0,59227831,27694367,,27694367,,,,27694367,0,27694367
2014,147767,00173900,Northwestern University,IL,1,,1,NCAA,4136,4221,8357,7,Football,110,,,,110,0,24976,2747342,0,0,2747342,,,,,,31664655,,31664655,,,,31664655,0,31664655,20884258,,20884258,,,,20884258,0,20884258
2014,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,21128,19324,40452,7,Football,118,,,,118,0,86065,10155684,0,0,10155684,,,,,,83547428,,83547428,,,,83547428,0,83547428,32588493,,32588493,,,,32588493,0,32588493
2014,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,20898,18179,39077,7,Football,115,,,,115,0,83665,9621531,0,0,9621531,,,,,,71305219,,71305219,,,,71305219,0,71305219,35146623,,35146623,,,,35146623,0,35146623
2014,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,16449,11933,28382,7,Football,105,,,,105,0,32725,3436142,0,0,3436142,,,,,,17073335,,17073335,,,,17073335,0,17073335,15598196,,15598196,,,,15598196,0,15598196
2014,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,16176,16096,32272,7,Football,111,,,,111,0,45789,5082634,0,0,5082634,,,,,,26903695,,26903695,,,,26903695,0,26903695,20158193,,20158193,,,,20158193,0,20158193
2014,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17486,13826,31312,7,Football,110,,,,110,0,25716,2828708,0,0,2828708,,,,,,30819615,,30819615,,,,30819615,0,30819615,18336909,,18336909,,,,18336909,0,18336909
2014,153658,00189200,University of Iowa,IA,1,,1,NCAA,9301,10074,19375,7,Football,121,,,,121,0,39883,4825833,0,0,4825833,,,,,,52354781,,52354781,,,,52354781,0,52354781,25482299,,25482299,,,,25482299,0,25482299
2014,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,13210,11698,24908,7,Football,107,,,,107,0,26786,2866106,0,0,2866106,,,,,,30891641,,30891641,,,,30891641,0,30891641,16151389,,16151389,,,,16151389,0,16151389
2014,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,13789,13508,27297,7,Football,117,,,,117,0,37768,4418872,0,0,4418872,,,,,,88251525,,88251525,,,,88251525,0,88251525,31880547,,31880547,,,,31880547,0,31880547
2014,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13661,14282,27943,7,Football,126,,,,126,0,39300,4951745,0,0,4951745,,,,,,35772983,,35772983,,,,35772983,0,35772983,26292215,,26292215,,,,26292215,0,26292215
2014,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,9887,8773,18660,7,Football,138,,,,138,0,48611,6708264,0,0,6708264,,,,,,60621628,,60621628,,,,60621628,0,60621628,29179492,,29179492,,,,29179492,0,29179492
2014,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,13534,14333,27867,7,Football,112,,,,112,0,39455,4419012,0,0,4419012,,,,,,44797138,,44797138,,,,44797138,0,44797138,26643793,,26643793,,,,26643793,0,26643793
2013,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,15352,15558,30910,7,Football,136,,,,136,0,18018,2450409,0,0,2450409,,,,,,26237689,,26237689,,,,26237689,0,26237689,17652439,,17652439,,,,17652439,0,17652439
2013,171100,00229000,Michigan State University,MI,1,,1,NCAA,17111,17465,34576,7,Football,116,,,,116,0,53824,6243567,0,0,6243567,,,,,,52793124,,52793124,,,,52793124,0,52793124,26678123,,26678123,,,,26678123,0,26678123
2013,147767,00173900,Northwestern University,IL,1,,1,NCAA,4146,4312,8458,7,Football,106,,,,106,0,25150,2665934,0,0,2665934,,,,,,31483008,,31483008,,,,31483008,0,31483008,22642960,,22642960,,,,22642960,0,22642960
2013,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,20920,18957,39877,7,Football,111,,,,111,0,63885,7091261,0,0,7091261,,,,,,65773860,,65773860,,,,65773860,0,65773860,23381516,,23381516,,,,23381516,0,23381516
2013,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,20614,17929,38543,7,Football,111,,,,111,0,55167,6123518,0,0,6123518,,,,,,68018381,,68018381,,,,68018381,0,68018381,31488036,,31488036,,,,31488036,0,31488036
2013,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,16562,12053,28615,7,Football,113,,,,113,0,28108,3176239,0,0,3176239,,,,,,19785663,,19785663,,,,19785663,0,19785663,15328708,,15328708,,,,15328708,0,15328708
2013,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,15908,15722,31630,7,Football,115,,,,115,0,56493,6496644,0,0,6496644,,,,,,20812200,,20812200,,,,20812200,0,20812200,19218208,,19218208,,,,19218208,0,19218208
2013,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,17447,13682,31129,7,Football,120,,,,120,0,13609,1633106,0,0,1633106,,,,,,30323995,,30323995,,,,30323995,0,30323995,16559019,,16559019,,,,16559019,0,16559019
2013,153658,00189200,University of Iowa,IA,1,,1,NCAA,9289,10012,19301,7,Football,129,,,,129,0,37396,4824119,0,0,4824119,,,,,,53624529,,53624529,,,,53624529,0,53624529,24134459,,24134459,,,,24134459,0,24134459
2013,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,12891,11509,24400,7,Football,110,,,,110,0,17181,1889922,0,0,1889922,,,,,,21716970,,21716970,,,,21716970,0,21716970,15398021,,15398021,,,,15398021,0,15398021
2013,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,13814,13414,27228,7,Football,108,,,,108,0,60678,6553230,0,0,6553230,,,,,,91383749,,91383749,,,,91383749,0,91383749,26755732,,26755732,,,,26755732,0,26755732
2013,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13616,14250,27866,7,Football,132,,,,132,0,48530,6405974,0,0,6405974,,,,,,39820826,,39820826,,,,39820826,0,39820826,27756655,,27756655,,,,27756655,0,27756655
2013,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,9697,8405,18102,7,Football,141,,,,141,0,24939,3516391,0,0,3516391,,,,,,60164128,,60164128,,,,60164128,0,60164128,23844466,,23844466,,,,23844466,0,23844466
2013,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,13670,14513,28183,7,Football,120,,,,120,0,36558,4387003,0,0,4387003,,,,,,47284723,,47284723,,,,47284723,0,47284723,31282929,,31282929,,,,31282929,0,31282929
2012,151351,00180900,Indiana University-Bloomington,IN,1,,1,NCAA,15127,15718,30845,7,Football,134,,,,134,0,15524,2080196,0,0,2080196,,,,,,24370088,,24370088,,,,24370088,0,24370088,15901109,,15901109,,,,15901109,0,15901109
2012,171100,00229000,Michigan State University,MI,1,,1,NCAA,16749,17153,33902,7,Football,120,,,,120,0,38870,4664428,0,0,4664428,,,,,,47869615,,47869615,,,,47869615,0,47869615,20624183,,20624183,,,,20624183,0,20624183
2012,147767,00173900,Northwestern University,IL,1,,1,NCAA,4166,4336,8502,7,Football,106,,,,106,0,32497,3444712,0,0,3444712,,,,,,30143982,,30143982,,,,30143982,0,30143982,21722796,,21722796,,,,21722796,0,21722796
2012,204796,00309000,Ohio State University-Main Campus,OH,1,,1,NCAA,20275,18433,38708,7,Football,103,,,,103,0,118885,12245150,0,0,12245150,,,,,,61131726,,61131726,,,,61131726,0,61131726,22984985,,22984985,,,,22984985,0,22984985
2012,214777,00332900,Pennsylvania State University-Main Campus,PA,1,,1,NCAA,20154,17465,37619,7,Football,116,,,,116,0,10183,1181245,0,0,1181245,,,,,,58722182,,58722182,,,,58722182,0,58722182,28637144,,28637144,,,,28637144,0,28637144
2012,243780,00182500,Purdue University-Main Campus,IN,1,,1,NCAA,17087,12246,29333,7,Football,107,,,,107,0,36564,3912347,0,0,3912347,,,,,,20215316,,20215316,,,,20215316,0,20215316,17656933,,17656933,,,,17656933,0,17656933
2012,186380,00262900,Rutgers University-New Brunswick,NJ,1,,1,NCAA,15375,14553,29928,7,Football,110,,,,110,0,71661,7882716,0,0,7882716,,,,,,19522057,,19522057,,,,19522057,0,19522057,19522057,,19522057,,,,19522057,0,19522057
2012,145637,00177500,University of Illinois at Urbana-Champaign,IL,1,,1,NCAA,16966,13764,30730,7,Football,115,,,,115,0,13241,1522680,0,0,1522680,,,,,,29267805,,29267805,,,,29267805,0,29267805,16551097,,16551097,,,,16551097,0,16551097
2012,153658,00189200,University of Iowa,IA,1,,1,NCAA,9419,10030,19449,7,Football,127,,,,127,0,26049,3308276,0,0,3308276,,,,,,55648679,,55648679,,,,55648679,0,55648679,21497369,,21497369,,,,21497369,0,21497369
2012,163286,00210300,University of Maryland-College Park,MD,1,,1,NCAA,12838,11526,24364,7,Football,110,,,,110,0,10083,1109089,0,0,1109089,,,,,,16480601,,16480601,,,,16480601,0,16480601,11172381,,11172381,,,,11172381,0,11172381
2012,170976,00232500,University of Michigan-Ann Arbor,MI,1,,1,NCAA,13745,13209,26954,7,Football,110,,,,110,0,48213,5303376,0,0,5303376,,,,,,81475191,,81475191,,,,81475191,0,81475191,23061374,,23061374,,,,23061374,0,23061374
2012,174066,00396900,University of Minnesota-Twin Cities,MN,1,,1,NCAA,13772,14291,28063,7,Football,124,,,,124,0,28298,3508945,0,0,3508945,,,,,,36028193,,36028193,,,,36028193,0,36028193,20839079,,20839079,,,,20839079,0,20839079
2012,181464,00256500,University of Nebraska-Lincoln,NE,1,,1,NCAA,9604,8162,17766,7,Football,151,,,,151,0,29164,4403706,0,0,4403706,,,,,,55866615,,55866615,,,,55866615,0,55866615,21359309,,21359309,,,,21359309,0,21359309
2012,240444,00389500,University of Wisconsin-Madison,WI,1,,1,NCAA,13449,14443,27892,7,Football,113,,,,113,0,45067,5092534,0,0,5092534,,,,,,50641993,,50641993,,,,50641993,0,50641993,31811280,,31811280,,,,31811280,0,31811280
