year,team,games,win,loss,win_rate,surveyyear,footballteam,state,maleundergraduates,femaleundergraduates,totalundergraduates,participantsmenteam,operatingexpensesparticipantmenteam,operatingexpensesteammenteam,totaloperatingexpensesmenwomenteam,revenuesmenteam,expensesmenteam
2019,University of Iowa,13,10,3,0.769,2019,University of Iowa,IA,9652,11440,21092,128,39590,5067556,5067556,81421937,41688056
2019,University of Maryland-College Park,12,3,9,0.25,2019,University of Maryland-College Park,MD,14602,13626,28228,116,23436,2718520,2718520,44673149,21391499
2019,University of Michigan-Ann Arbor,13,9,4,0.692,2019,University of Michigan-Ann Arbor,MI,14934,15123,30057,147,44451,6534308,6534308,125773306,44684585
2019,Michigan State University,13,7,6,0.538,2019,Michigan State University,MI,17461,18114,35575,118,71975,8493091,8493091,68942427,43987682
2019,University of Minnesota-Twin Cities,13,11,2,0.846,2019,University of Minnesota-Twin Cities,MN,13559,15677,29236,120,57728,6927313,6927313,61719121,34187250
2019,University of Nebraska-Lincoln,12,5,7,0.417,2019,University of Nebraska-Lincoln,NE,9941,9189,19130,176,27819,4896112,4896112,95848584,31601463
2019,Northwestern University,12,3,9,0.25,2019,Northwestern University,IL,4028,4216,8244,115,20812,2393337,2393337,59510410,33092234
2019,Ohio State University-Main Campus,14,13,1,0.929,2019,Ohio State University-Main Campus,OH,21770,20816,42586,125,63767,7970875,7970875,115510031,52616230
2019,Pennsylvania State University-Main Campus,13,11,2,0.846,2019,Pennsylvania State University-Main Campus,PA,35954,30325,66279,123,83347,10251651,10251651,101678317,50608202
2019,Purdue University-Main Campus,12,4,8,0.333,2019,Purdue University-Main Campus,IN,18755,13848,32603,109,43551,4747080,4747080,51946990,23815344
2019,Rutgers University-New Brunswick,12,2,10,0.167,2019,Rutgers University-New Brunswick,NJ,17189,17044,34233,122,49338,6019251,6019251,32874357,32874357
2019,University of Wisconsin-Madison,14,10,4,0.714,2019,University of Wisconsin-Madison,WI,14175,15575,29750,117,64886,7591636,7591636,87408161,29316118
2020,University of Illinois at Urbana-Champaign,8,2,6,0.25,2020,University of Illinois at Urbana-Champaign,IL,17129,14965,32094,106,22877,2424996,2424996,41652159,21381418
2020,Indiana University-Bloomington,7,6,1,0.857,2020,Indiana University-Bloomington,IN,15801,15818,31619,121,27956,3382664,3382664,33847772,23815660
2020,University of Iowa,8,6,2,0.75,2020,University of Iowa,IA,9050,11105,20155,130,16423,2134933,2134933,43491626,29536990
2020,University of Maryland-College Park,5,2,3,0.4,2020,University of Maryland-College Park,MD,14500,13638,28138,119,17424,2073481,2073481,31534043,20498932
2020,University of Michigan-Ann Arbor,6,2,4,0.333,2020,University of Michigan-Ann Arbor,MI,14688,15125,29813,144,17179,2473734,2473734,72253039,37380522
2020,Michigan State University,7,2,5,0.286,2020,Michigan State University,MI,16635,17946,34581,121,18432,2230324,2230324,37448047,24127604
2020,University of Minnesota-Twin Cities,7,3,4,0.429,2020,University of Minnesota-Twin Cities,MN,13253,15276,28529,122,19867,2423799,2423799,45125727,24151147
2020,University of Nebraska-Lincoln,8,3,5,0.375,2020,University of Nebraska-Lincoln,NE,9689,9260,18949,166,16100,2672618,2672618,51421857,22785686
2020,Northwestern University,8,6,2,0.75,2020,Northwestern University,IL,3863,4182,8045,114,17389,1982372,1982372,43072096,27360633
2020,Ohio State University-Main Campus,6,6,0,1,2020,Ohio State University-Main Campus,OH,21435,21105,42540,124,25911,3213005,3213005,43835452,43835452
2020,Purdue University-Main Campus,6,2,4,0.333,2020,Purdue University-Main Campus,IN,19349,14220,33569,117,23484,2747669,2747669,33013787,18822482
2020,Rutgers University-New Brunswick,9,3,6,0.333,2020,Rutgers University-New Brunswick,NJ,16836,16933,33769,130,28949,3763401,3763401,35075181,35075181
2020,University of Wisconsin-Madison,6,3,3,0.5,2020,University of Wisconsin-Madison,WI,14323,15663,29986,112,21607,2420026,2420026,48559349,21077319
2021,University of Illinois at Urbana-Champaign,12,5,7,0.417,2021,University of Illinois at Urbana-Champaign,IL,17727,15386,33113,118,22850,2696274,2696274,63208225,29035738
