Year,Team,Games,Win,Loss
2015,University of Illinois Urban-Champaign,12,5,7
2015,Indiana University-Bloomington,13,6,7
2015,University of Iowa,13,12,2
2015,University of Maryland-College Park,13,3,9
2015,University of Michigan-Ann Arbor,13,10,3
2015,Michigan State University,12,12,2
2015,University of Minnesota-Twin Cities,13,6,7
2015,University of Nebraska-Lincoln,13,6,7
2015,Northwestern University,13,10,3
2015,Ohio State University-Main Campus,13,12,1
2015,Pennsylvania State University-Main Campus,14,7,6
2015,Purdue University-Main Campus,12,2,10
2015,Rutgers University-New Brunswick,12,4,8
2015,University of Wisconsin-Madison,14,10,3
